workerid,proliferate.condition,classification,num,sentence,stim,text,trial,type,subject_data.age,subject_data.american,subject_data.assessment,subject_data.comments,subject_data.fairprice,subject_data.gender,subject_data.languages,subject_data.problems,time_in_minutes,error
43,condition1,both,29,"What happened to those beautiful statutes enunciated in the constitution which guarantee the sanctity of the citizen's life, property, and the many other rights such as the right to freedom…",,to choose.,3,legal,62,Yes,Confused,It was excellent. ,1,Female,English,No,13.6914,
180,condition1,both,11,"She said, ""I live in luxury now. I don't have to spend time with people I don't like. I have complete freedom…",,to do what I want with whom I choose. ,5,non-legal,51,Yes,Confused,,$4 ,Female,English ,no,11.85118333,
133,condition1,both,11,"She said, ""I live in luxury now. I don't have to spend time with people I don't like. I have complete freedom…",,to do whatever I want,1,non-legal,30,Yes,Confused,,yes,Male,English,No,4.508266667,
180,condition1,both,28,"Ten years ago, 106 nations affirmed their dedication to respecting and upholding core democratic values including the right of citizens to choose their representatives through regular, free, and fair elections with universal and equal suffrage; to equal protection under the law; and to freedom…",,to gather and pursue a happy life,3,legal,51,Yes,Confused,,$4 ,Female,English ,no,11.85118333,
72,condition1,both,37,The American promise is alive. It is that promise that's always set this country apart. It's a promise that says each of us has the freedom…,,to make a living,6,legal,42,Yes,Confused,,2.03,Male,English,No,23.73603333,
43,condition1,both,37,The American promise is alive. It is that promise that's always set this country apart. It's a promise that says each of us has the freedom…,,to prosper.,6,legal,62,Yes,Confused,It was excellent. ,1,Female,English,No,13.6914,
43,condition1,both,28,"Ten years ago, 106 nations affirmed their dedication to respecting and upholding core democratic values including the right of citizens to choose their representatives through regular, free, and fair elections with universal and equal suffrage; to equal protection under the law; and to freedom…",,to vote their choice.,7,legal,62,Yes,Confused,It was excellent. ,1,Female,English,No,13.6914,
19,condition1,both,33,"The story of slavery and freedom told so movingly inside the museum, however, is also a painful and shameful narrative heard beyond the building's grounds. Visitors don't have to enter the building to learn about slavery or see symbols of the Black struggle to defend freedom…",,"War, plantation, owner",7,non-legal,31,Yes,Confused,None,$1.25 ,Male,English,No,10.12106667,
72,condition1,both,,,I let the dog off leash and he...,went to the bathroom,,,42,Yes,Confused,,2.03,Male,English,No,23.73603333,
5,condition1,neither,9,Our constitution grants to each citizen the liberty and freedom to determine their own perception of reality. We simply ask each American citizen to exercise their freedom…,, ,1,legal,,,Confused,,,Other,,,0.837683333,
5,condition1,neither,27,"And, son, that's why you don't want to end up like Stan Smith, the White Castle employee who did everything right.' Cause what did it get him? A government job fighting for so-called freedom",, ,3,non-legal,,,Confused,,,Other,,,0.837683333,
5,condition1,neither,32,"They, more than anyone, understand that what they protect is not a dead soldier, but a symbol of the value we place on those who gave their lives to defend the country they love, its way of life and the freedom…",, ,9,non-legal,,,Confused,,,Other,,,0.837683333,
72,condition1,neither,7,"No, substantively, nothing has changed. It might be comforting to dig for the positives but the fact remains that this ruling will keep Obama in the WH. There will be nothing left of freedom…",,after their verdict.,10,legal,42,Yes,Confused,,2.03,Male,English,No,23.73603333,
176,condition1,neither,21,"Then Peter Gorman offered the winners the chance to work at one of the worst schools in the district. In exchange, the principals would get a raise, freedom…",,and happiness,6,non-legal,20,Yes,Confused,Mildly confusing but OK,$2 ,Male,English,No,9.65675,
19,condition1,neither,30,Unlimited means unlimited. I don't care if I only use 2GB of data half the year. It's the freedom…,,"Data, internet, web",2,non-legal,31,Yes,Confused,None,$1.25 ,Male,English,No,10.12106667,
138,condition1,neither,27,"And, son, that's why you don't want to end up like Stan Smith, the White Castle employee who did everything right.' Cause what did it get him? A government job fighting for so-called freedom",,for everyone.,2,non-legal,25,Yes,Confused,,,Female,English,,4.33745,
231,condition1,neither,35,"“It brought a lot of threats from people already saying I'll never work again,"" she told the newspaper. ""If that's what America has come to, where we all hate and bully people, there's no more freedom…",,For the average person ,4,non-legal,38,Yes,Confused,,$2.50 ,Male,English ,,8.745733333,
133,condition1,neither,24,"You've lied to me, held me captive, and separated me from the people I love most in the world. But worst of all, you've used your piety as an excuse to take away my freedom…",,from the world,3,non-legal,30,Yes,Confused,,yes,Male,English,No,4.508266667,
138,condition1,neither,31,"When people are allowed to choose and do whatever they want, they end up making bad choices that close off the possibility of other future free choices. So the solution is to maximize their overall freedom by limiting freedom…",,in the first place,10,non-legal,25,Yes,Confused,,,Female,English,,4.33745,
144,condition1,neither,7,"No, substantively, nothing has changed. It might be comforting to dig for the positives but the fact remains that this ruling will keep Obama in the WH. There will be nothing left of freedom…",,of choice,8,legal,29,Yes,Confused,,$1 ,Male,English,,3.58355,
133,condition1,neither,28,"Ten years ago, 106 nations affirmed their dedication to respecting and upholding core democratic values including the right of citizens to choose their representatives through regular, free, and fair elections with universal and equal suffrage; to equal protection under the law; and to freedom…",,of rights,9,legal,30,Yes,Confused,,yes,Male,English,No,4.508266667,
231,condition1,neither,38,"But as your relationship subtly intensified, she choose the practicality and constraint of her and him over the irrationality and freedom…",,of the oppression ,3,non-legal,38,Yes,Confused,,$2.50 ,Male,English ,,8.745733333,
72,condition1,neither,38,"But as your relationship subtly intensified, she choose the practicality and constraint of her and him over the irrationality and freedom…",,of you,4,non-legal,42,Yes,Confused,,2.03,Male,English,No,23.73603333,
19,condition1,neither,0,"They think I do great work. It's things like the parody video that turns me off to photography as a business. I have no interest in dealing with prospects and clients, answering to their whims, or compromising my freedom…",,"Of, photography",1,non-legal,31,Yes,Confused,None,$1.25 ,Male,English,No,10.12106667,
137,condition1,neither,10,"We allowed Percival to modify the starting conditions of this system to see if that would allow us to get to the current situation. At least, that was what we intended. It turns out that we gave Percival the additional freedom… ",,over the conditions. ,6,non-legal,35,Yes,Confused,,$2 ,Other,English,,6.583033333,
231,condition1,neither,18,"One might argue that anyone prepared to be part of a mob is not a classic, individual-liberty conservative. After all, the American revolution was not, unlike the French, a blood-bath for equality, but a war for freedom…",,paid a high toll,6,legal,38,Yes,Confused,,$2.50 ,Male,English ,,8.745733333,
137,condition1,neither,,,I let the dog off leash and he...,ran away,,,35,Yes,Confused,,$2 ,Other,English,,6.583033333,
176,condition1,neither,20,"I am thrilled to see Occupy working so constructively to help all those who think they are trapped in debt realize that the trap is to a large extent, comprised simply of intimidation, and that with some of the right kind of guidance and thought, one can get free. Life's problems and our society's problems must still be faced, but once one has attained freedom…",,they needn't any more,5,non-legal,20,Yes,Confused,Mildly confusing but OK,$2 ,Male,English,No,9.65675,
137,condition1,neither,8,"One final commonality, though, is less heartening: many organizations appear scared to death of Enterprise 2.0. They're worried that people will use the new tools and accompanying freedom…",,to abuse the system. ,8,non-legal,35,Yes,Confused,,$2 ,Other,English,,6.583033333,
144,condition1,neither,10,"We allowed Percival to modify the starting conditions of this system to see if that would allow us to get to the current situation. At least, that was what we intended. It turns out that we gave Percival the additional freedom… ",,to do anything?,6,non-legal,29,Yes,Confused,,$1 ,Male,English,,3.58355,
144,condition1,neither,21,"Then Peter Gorman offered the winners the chance to work at one of the worst schools in the district. In exchange, the principals would get a raise, freedom…",,to do whatever,7,non-legal,29,Yes,Confused,,$1 ,Male,English,,3.58355,
176,condition1,neither,4,"It was our Japanese publisher, Sunsoft, who approached us out of the blue asking us if we'd do a game for an older audience. We shared a tremendous amount of mutual respect toward one another and we were given total creative freedom…",,to expand our creativity,9,non-legal,20,Yes,Confused,Mildly confusing but OK,$2 ,Male,English,No,9.65675,
133,condition1,neither,40,"So I'm sick and tired of hearing' Women's issues' which is just a euphemism for abortion, really."" The women in Tampa take that message to heart. The 2020 election, many of them tell me, is about a bigger clash of ideals."" For me, it's freedom",,to make my choice,6,legal,30,Yes,Confused,,yes,Male,English,No,4.508266667,
180,condition1,neither,40,"So I'm sick and tired of hearing' Women's issues' which is just a euphemism for abortion, really."" The women in Tampa take that message to heart. The 2020 election, many of them tell me, is about a bigger clash of ideals."" For me, it's freedom",,to not care about women's rights. ,7,legal,51,Yes,Confused,,$4 ,Female,English ,no,11.85118333,
72,condition1,neither,25,"Subjective performance is conceptualized as a combination of both the athletes' perception of their own performance and the athletes' perception of the coaches' perception of the athletes' performance level. Subjective performance correlated best with adversity, concentration, confidence, and freedom…",,to pursue victory,7,non-legal,42,Yes,Confused,,2.03,Male,English,No,23.73603333,
176,condition1,neither,2,"Gov Corbett is moving money away from public schools into an expansion of charter schools and vouchers. Even though the budgets of our school districts have been cut they are required to fund charter schools within the district. ""These institutions give educators the freedom…",,to teach and learn,4,legal,20,Yes,Confused,Mildly confusing but OK,$2 ,Male,English,No,9.65675,
137,condition1,neither,12,"The prominence of these moguls was so well known it inspired a nickname -- the Boligarchs -- for their fast accumulation of wealth and their ties to the government, which reveres Simon Bolivar, the 19th-century aristocrat who won Venezuela's freedom…",,vote.,5,legal,35,Yes,Confused,,$2 ,Other,English,,6.583033333,
133,condition1,neither,21,"Then Peter Gorman offered the winners the chance to work at one of the worst schools in the district. In exchange, the principals would get a raise, freedom…",,was no more,10,non-legal,30,Yes,Confused,,yes,Male,English,No,4.508266667,
137,condition1,neither,32,"They, more than anyone, understand that what they protect is not a dead soldier, but a symbol of the value we place on those who gave their lives to defend the country they love, its way of life and the freedom…",,we all deserve.,10,non-legal,35,Yes,Confused,,$2 ,Other,English,,6.583033333,
19,condition1,neither,22,The trip begins in silence as the huge ship departs the Earth transport ship that brought you this far. In comfort you watch as the airship tilts up relative to the planet's surface. You start to feel some freedom…,,"Weight, hope",10,non-legal,31,Yes,Confused,None,$1.25 ,Male,English,No,10.12106667,
5,condition1,obstacle,,,I let the dog off leash and he..., ,,,,,Confused,,,Other,,,0.837683333,
5,condition1,obstacle,19,"Discovery was also the first Star Trek to be rated TV-MA, which gave the showrunners the freedom…",, ,2,non-legal,,,Confused,,,Other,,,0.837683333,
5,condition1,obstacle,39,"It is an open question which form of the couplet demands the more technique, heroic or romance. All we can be sure of is that each version demands plenty. Perhaps the romance couplet always demanded most, as it headed towards the freedom…",, ,5,non-legal,,,Confused,,,Other,,,0.837683333,
5,condition1,obstacle,30,Unlimited means unlimited. I don't care if I only use 2GB of data half the year. It's the freedom…,, ,6,non-legal,,,Confused,,,Other,,,0.837683333,
5,condition1,obstacle,14,"Human freedom is thus distinct from the kind of freedom talked about by animal liberationists. Human freedom is largely our ability to act free of external constraints, but also freedom…",, ,7,legal,,,Confused,,,Other,,,0.837683333,
5,condition1,obstacle,4,"It was our Japanese publisher, Sunsoft, who approached us out of the blue asking us if we'd do a game for an older audience. We shared a tremendous amount of mutual respect toward one another and we were given total creative freedom…",, ,8,non-legal,,,Confused,,,Other,,,0.837683333,
68,condition1,obstacle,9,Our constitution grants to each citizen the liberty and freedom to determine their own perception of reality. We simply ask each American citizen to exercise their freedom…,,accordingly,8,legal,20,Yes,Confused,,$2.50 ,Male,English,no,4.479216667,
176,condition1,obstacle,18,"One might argue that anyone prepared to be part of a mob is not a classic, individual-liberty conservative. After all, the American revolution was not, unlike the French, a blood-bath for equality, but a war for freedom…",,and liberty,3,legal,20,Yes,Confused,Mildly confusing but OK,$2 ,Male,English,No,9.65675,
29,condition1,obstacle,18,"One might argue that anyone prepared to be part of a mob is not a classic, individual-liberty conservative. After all, the American revolution was not, unlike the French, a blood-bath for equality, but a war for freedom…",,and liberty.,1,legal,30,Yes,Confused,,$2.00 ,Female,English,No,6.126966667,
68,condition1,obstacle,,,I let the dog off leash and he...,barked at the cat,,,20,Yes,Confused,,$2.50 ,Male,English,no,4.479216667,
205,condition1,obstacle,14,"Human freedom is thus distinct from the kind of freedom talked about by animal liberationists. Human freedom is largely our ability to act free of external constraints, but also freedom…",,comes at a cost,7,legal,46,No,Confused,,Yes,Male,English,No,7.103583333,
120,condition1,obstacle,7,"No, substantively, nothing has changed. It might be comforting to dig for the positives but the fact remains that this ruling will keep Obama in the WH. There will be nothing left of freedom…",,for all,9,legal,40,Yes,Confused,,current rate is fine,Other,English,"nope, although I definitely used more than 4 words on several entries at first.  i think the 2-4 was a bit too constraining to make continuations that actually made sense...",4.749383333,
29,condition1,obstacle,20,"I am thrilled to see Occupy working so constructively to help all those who think they are trapped in debt realize that the trap is to a large extent, comprised simply of intimidation, and that with some of the right kind of guidance and thought, one can get free. Life's problems and our society's problems must still be faced, but once one has attained freedom…",,from debt.,7,non-legal,30,Yes,Confused,,$2.00 ,Female,English,No,6.126966667,
72,condition1,obstacle,13,"Once I'm airborne, the kite responds like a parachute, slowing my descent. I glide for a few seconds before landing on a feathery cushion of waist-deep joy. But most liberating is the sheer freedom…",,from gravity's chains.,9,non-legal,42,Yes,Confused,,2.03,Male,English,No,23.73603333,
137,condition1,obstacle,21,"Then Peter Gorman offered the winners the chance to work at one of the worst schools in the district. In exchange, the principals would get a raise, freedom…",,from oversight. ,9,non-legal,35,Yes,Confused,,$2 ,Other,English,,6.583033333,
180,condition1,obstacle,39,"It is an open question which form of the couplet demands the more technique, heroic or romance. All we can be sure of is that each version demands plenty. Perhaps the romance couplet always demanded most, as it headed towards the freedom…",,from strictures.,8,non-legal,51,Yes,Confused,,$4 ,Female,English ,no,11.85118333,
144,condition1,obstacle,13,"Once I'm airborne, the kite responds like a parachute, slowing my descent. I glide for a few seconds before landing on a feathery cushion of waist-deep joy. But most liberating is the sheer freedom…",,from the air,1,non-legal,29,Yes,Confused,,$1 ,Male,English,,3.58355,
149,condition1,obstacle,22,The trip begins in silence as the huge ship departs the Earth transport ship that brought you this far. In comfort you watch as the airship tilts up relative to the planet's surface. You start to feel some freedom…,,from the Earth.,4,non-legal,42,Yes,Confused,,5,Female,English,no,5.032433333,
68,condition1,obstacle,18,"One might argue that anyone prepared to be part of a mob is not a classic, individual-liberty conservative. After all, the American revolution was not, unlike the French, a blood-bath for equality, but a war for freedom…",,from the king,5,legal,20,Yes,Confused,,$2.50 ,Male,English,no,4.479216667,
120,condition1,obstacle,6,"At the time of the Paris Peace Conference, the goal of the conference was described as ""giving birth to a new order to which all mankind is looking for freedom…",,from tyranny,1,legal,40,Yes,Confused,,current rate is fine,Other,English,"nope, although I definitely used more than 4 words on several entries at first.  i think the 2-4 was a bit too constraining to make continuations that actually made sense...",4.749383333,
133,condition1,obstacle,15,Both the Religious Test Clause and the First Amendment of the Constitution are not guarantees of religious heterogeneity--they are guarantees of a freedom…,,in oneself,5,legal,30,Yes,Confused,,yes,Male,English,No,4.508266667,
144,condition1,obstacle,2,"Gov Corbett is moving money away from public schools into an expansion of charter schools and vouchers. Even though the budgets of our school districts have been cut they are required to fund charter schools within the district. ""These institutions give educators the freedom…",,of choice,10,legal,29,Yes,Confused,,$1 ,Male,English,,3.58355,
205,condition1,obstacle,24,"You've lied to me, held me captive, and separated me from the people I love most in the world. But worst of all, you've used your piety as an excuse to take away my freedom…",,of choice,8,non-legal,46,No,Confused,,Yes,Male,English,No,7.103583333,
149,condition1,obstacle,15,Both the Religious Test Clause and the First Amendment of the Constitution are not guarantees of religious heterogeneity--they are guarantees of a freedom…,,of choice.,10,legal,42,Yes,Confused,,5,Female,English,no,5.032433333,
29,condition1,obstacle,10,"We allowed Percival to modify the starting conditions of this system to see if that would allow us to get to the current situation. At least, that was what we intended. It turns out that we gave Percival the additional freedom… ",,of choice.,5,non-legal,30,Yes,Confused,,$2.00 ,Female,English,No,6.126966667,
231,condition1,obstacle,24,"You've lied to me, held me captive, and separated me from the people I love most in the world. But worst of all, you've used your piety as an excuse to take away my freedom…",,Of everything I held ,10,non-legal,38,Yes,Confused,,$2.50 ,Male,English ,,8.745733333,
138,condition1,obstacle,23,"I turn to see Grandmother, wiping her eyes and lighting a candle at her shrine. She makes the Sign of the Cross, then tells me a story about the rich man who had everything he wanted except freedom…",,of faith,7,non-legal,25,Yes,Confused,,,Female,English,,4.33745,
29,condition1,obstacle,22,The trip begins in silence as the huge ship departs the Earth transport ship that brought you this far. In comfort you watch as the airship tilts up relative to the planet's surface. You start to feel some freedom…,,of movement.,3,non-legal,30,Yes,Confused,,$2.00 ,Female,English,No,6.126966667,
29,condition1,obstacle,5,"They work under the premise that safer always is better. A current and continuing case, for instance, involves compulsory helmet laws and motorcyclists' campaign for repeal. Arguments for repeal are basic: freedom…",,of movement.,10,legal,30,Yes,Confused,,$2.00 ,Female,English,No,6.126966667,
180,condition1,obstacle,35,"“It brought a lot of threats from people already saying I'll never work again,"" she told the newspaper. ""If that's what America has come to, where we all hate and bully people, there's no more freedom…",,of open expression,4,non-legal,51,Yes,Confused,,$4 ,Female,English ,no,11.85118333,
33,condition1,obstacle,17,Libraries = Intellectual Freedom. Libraries are already one of the leaders in intellectual freedom. We work hard to ensure privacy and freedom…,,of speech,10,non-legal,33,Yes,Confused,,$2 ,Male,English,,9.681833333,
176,condition1,obstacle,39,"It is an open question which form of the couplet demands the more technique, heroic or romance. All we can be sure of is that each version demands plenty. Perhaps the romance couplet always demanded most, as it headed towards the freedom…",,of the genre,10,non-legal,20,Yes,Confused,Mildly confusing but OK,$2 ,Male,English,No,9.65675,
138,condition1,obstacle,30,Unlimited means unlimited. I don't care if I only use 2GB of data half the year. It's the freedom…,,of the thing,8,non-legal,25,Yes,Confused,,,Female,English,,4.33745,
43,condition1,obstacle,22,The trip begins in silence as the huge ship departs the Earth transport ship that brought you this far. In comfort you watch as the airship tilts up relative to the planet's surface. You start to feel some freedom…,,overcome you.,9,non-legal,62,Yes,Confused,It was excellent. ,1,Female,English,No,13.6914,
33,condition1,obstacle,,,I let the dog off leash and he...,ran around.,,,33,Yes,Confused,,$2 ,Male,English,,9.681833333,
176,condition1,obstacle,,,I let the dog off leash and he...,ran away,,,20,Yes,Confused,Mildly confusing but OK,$2 ,Male,English,No,9.65675,
144,condition1,obstacle,,,I let the dog off leash and he...,ran away,,,29,Yes,Confused,,$1 ,Male,English,,3.58355,
138,condition1,obstacle,,,I let the dog off leash and he...,ran away,,,25,Yes,Confused,,,Female,English,,4.33745,
120,condition1,obstacle,,,I let the dog off leash and he...,ran away,,,40,Yes,Confused,,current rate is fine,Other,English,"nope, although I definitely used more than 4 words on several entries at first.  i think the 2-4 was a bit too constraining to make continuations that actually made sense...",4.749383333,
180,condition1,obstacle,,,I let the dog off leash and he...,ran away,,,51,Yes,Confused,,$4 ,Female,English ,no,11.85118333,
149,condition1,obstacle,,,I let the dog off leash and he...,ran away,,,42,Yes,Confused,,5,Female,English,no,5.032433333,
231,condition1,obstacle,,,I let the dog off leash and he...,Ran away ,,,38,Yes,Confused,,$2.50 ,Male,English ,,8.745733333,
43,condition1,obstacle,,,I let the dog off leash and he...,ran away.,,,62,Yes,Confused,It was excellent. ,1,Female,English,No,13.6914,
29,condition1,obstacle,,,I let the dog off leash and he...,ran away.,,,30,Yes,Confused,,$2.00 ,Female,English,No,6.126966667,
205,condition1,obstacle,,,I let the dog off leash and he...,ran off,,,46,No,Confused,,Yes,Male,English,No,7.103583333,
149,condition1,obstacle,5,"They work under the premise that safer always is better. A current and continuing case, for instance, involves compulsory helmet laws and motorcyclists' campaign for repeal. Arguments for repeal are basic: freedom…",,rights.,5,legal,42,Yes,Confused,,5,Female,English,no,5.032433333,
231,condition1,obstacle,23,"I turn to see Grandmother, wiping her eyes and lighting a candle at her shrine. She makes the Sign of the Cross, then tells me a story about the rich man who had everything he wanted except freedom…",,that he wanted ,2,non-legal,38,Yes,Confused,,$2.50 ,Male,English ,,8.745733333,
33,condition1,obstacle,20,"I am thrilled to see Occupy working so constructively to help all those who think they are trapped in debt realize that the trap is to a large extent, comprised simply of intimidation, and that with some of the right kind of guidance and thought, one can get free. Life's problems and our society's problems must still be faced, but once one has attained freedom…",,they can do anything,6,non-legal,33,Yes,Confused,,$2 ,Male,English,,9.681833333,
133,condition1,obstacle,32,"They, more than anyone, understand that what they protect is not a dead soldier, but a symbol of the value we place on those who gave their lives to defend the country they love, its way of life and the freedom…",,they fight for,2,non-legal,30,Yes,Confused,,yes,Male,English,No,4.508266667,
144,condition1,obstacle,36,"It was then, at fifteen, when Megan and I met our first humans. Until that point the technicians kept us in atelier tanks -- alive and conscious, fed information and nutrients through a series of cables and tubes. The tanks gave us freedom…",,to be human,2,non-legal,29,Yes,Confused,,$1 ,Male,English,,3.58355,
68,condition1,obstacle,11,"She said, ""I live in luxury now. I don't have to spend time with people I don't like. I have complete freedom…",,to be me,3,non-legal,20,Yes,Confused,,$2.50 ,Male,English,no,4.479216667,
205,condition1,obstacle,0,"They think I do great work. It's things like the parody video that turns me off to photography as a business. I have no interest in dealing with prospects and clients, answering to their whims, or compromising my freedom…",,to be someone else,4,non-legal,46,No,Confused,,Yes,Male,English,No,7.103583333,
133,condition1,obstacle,2,"Gov Corbett is moving money away from public schools into an expansion of charter schools and vouchers. Even though the budgets of our school districts have been cut they are required to fund charter schools within the district. ""These institutions give educators the freedom…",,to choose,8,legal,30,Yes,Confused,,yes,Male,English,No,4.508266667,
33,condition1,obstacle,10,"We allowed Percival to modify the starting conditions of this system to see if that would allow us to get to the current situation. At least, that was what we intended. It turns out that we gave Percival the additional freedom… ",,to control the situation,3,non-legal,33,Yes,Confused,,$2 ,Male,English,,9.681833333,
144,condition1,obstacle,24,"You've lied to me, held me captive, and separated me from the people I love most in the world. But worst of all, you've used your piety as an excuse to take away my freedom…",,to do whatever,3,non-legal,29,Yes,Confused,,$1 ,Male,English,,3.58355,
149,condition1,obstacle,21,"Then Peter Gorman offered the winners the chance to work at one of the worst schools in the district. In exchange, the principals would get a raise, freedom…",,to leave campus.,8,non-legal,42,Yes,Confused,,5,Female,English,no,5.032433333,
120,condition1,obstacle,40,"So I'm sick and tired of hearing' Women's issues' which is just a euphemism for abortion, really."" The women in Tampa take that message to heart. The 2020 election, many of them tell me, is about a bigger clash of ideals."" For me, it's freedom",,to make my own choices,4,legal,40,Yes,Confused,,current rate is fine,Other,English,"nope, although I definitely used more than 4 words on several entries at first.  i think the 2-4 was a bit too constraining to make continuations that actually made sense...",4.749383333,
231,condition1,obstacle,25,"Subjective performance is conceptualized as a combination of both the athletes' perception of their own performance and the athletes' perception of the coaches' perception of the athletes' performance level. Subjective performance correlated best with adversity, concentration, confidence, and freedom…",,To preform well ,8,non-legal,38,Yes,Confused,,$2.50 ,Male,English ,,8.745733333,
72,condition1,obstacle,5,"They work under the premise that safer always is better. A current and continuing case, for instance, involves compulsory helmet laws and motorcyclists' campaign for repeal. Arguments for repeal are basic: freedom…",,to ride and die,5,legal,42,Yes,Confused,,2.03,Male,English,No,23.73603333,
120,condition1,obstacle,2,"Gov Corbett is moving money away from public schools into an expansion of charter schools and vouchers. Even though the budgets of our school districts have been cut they are required to fund charter schools within the district. ""These institutions give educators the freedom…",,to teach,8,legal,40,Yes,Confused,,current rate is fine,Other,English,"nope, although I definitely used more than 4 words on several entries at first.  i think the 2-4 was a bit too constraining to make continuations that actually made sense...",4.749383333,
29,condition1,obstacle,2,"Gov Corbett is moving money away from public schools into an expansion of charter schools and vouchers. Even though the budgets of our school districts have been cut they are required to fund charter schools within the district. ""These institutions give educators the freedom…",,to teach the way they want to.,9,legal,30,Yes,Confused,,$2.00 ,Female,English,No,6.126966667,
33,condition1,obstacle,36,"It was then, at fifteen, when Megan and I met our first humans. Until that point the technicians kept us in atelier tanks -- alive and conscious, fed information and nutrients through a series of cables and tubes. The tanks gave us freedom…",,to think and breath,5,non-legal,33,Yes,Confused,,$2 ,Male,English,,9.681833333,
149,condition1,obstacle,36,"It was then, at fifteen, when Megan and I met our first humans. Until that point the technicians kept us in atelier tanks -- alive and conscious, fed information and nutrients through a series of cables and tubes. The tanks gave us freedom…",,to think for ourselves.,7,non-legal,42,Yes,Confused,,5,Female,English,no,5.032433333,
